Panasonic Lumix DC-G97	panasonic	2024-12-16	slrs		
Panasonic Lumix DC-ZS99	panasonic	2024-12-16	compacts		
LK Samyang AF 35mm F1.4 P	samyang-rokinon	2024-12-05	lenses	SonyE|SonyFE	35mm
Sony a1 II	sony	2024-11-19	slrs		
Sony FE 28-70mm F2 GM	sony	2024-11-19	lenses	SonyE|SonyFE	28-70mm
Meike AF 85mm f1.8 Pro STM	meike	2024-11-15	lenses	LeicaSL|NikonZ|SonyE	85mm
Hasselblad XCD 75mm F3.4 P	hasselblad	2024-11-07	lenses	HasselbladX	75mm
Nikon Z50II	nikon	2024-11-06	slrs		
Viltrox AF 135mm F1.8 Lab	viltrox	2024-11-04	lenses	NikonZ|SonyE|SonyFE	135mm
Nikon Nikkor Z 28-135mm F4 PZ	nikon	2024-10-30	lenses	NikonZ	28-135mm
Canon RF 70-200mm F2.8 L IS USM Z	canon	2024-10-30	lenses	CanonRF	70-200mm
Canon RF 24mm F1.4 L VCM	canon	2024-10-30	lenses	CanonRF	24-undefinedmm
Canon RF 50mm F1.4 L VCM	canon	2024-10-30	lenses	CanonRF	50-undefinedmm
Canon RF-S 7.8mm F4 STM Dual	canon	2024-10-30	lenses	CanonRF|CanonRFS	7.8-undefinedmm
Sirui Aurora 85mm F1.4	sirui	2024-10-25	lenses	FujifilmX|NikonZ|SonyE	85mm
Fujifilm X-M5	fujifilm	2024-10-14	slrs		
Fujifilm XF 16-55mm F2.8 R LM WR II	fujifilm	2024-10-14	lenses	FujifilmX	16-55mm
Fujifilm XF 500mm F5.6 R LM OIS WR	fujifilm	2024-10-14	lenses	FujifilmX	500mm
Panasonic S 18-40mm F4.5-6.3	panasonic	2024-10-08	lenses	LeicaSL	18-40mm
Viltrox AF 28mm F4.5 VCM	viltrox	2024-09-28	lenses	FujifilmX|LeicaSL|NikonZ|SonyE|SonyFE	28mm
Leica Q3 43	leica	2024-09-26	compacts		
Tamron 90mm F2.8 Di III Macro VXD	tamron	2024-09-26	lenses	NikonZ|SonyE	90mm
Canon RF 28-70mm F2.8 IS STM	canon	2024-09-12	lenses	CanonRF	28-70mm
Hasselblad XCD 20-35mm F3.2-4.5 E	hasselblad	2024-09-10	lenses	HasselbladX	20-35mm
Nikon Nikkor Z 50mm F1.4	nikon	2024-09-10	lenses	NikonZ	50mm
Canon EOS C80	canon	2024-09-09	slrs		
Leica Vario-Elmarit-SL 70–200 F2.8 ASPH	leica	2024-09-05	lenses	LeicaSL	70-200mm
Sigma 28-105mm F2.8 DG DN | Art	sigma	2024-09-05	lenses	LeicaSL|SonyE	28-105mm
Sony FE 85mm F1.4 GM II	sony	2024-08-28	lenses	SonyE|SonyFE	85mm
Ricoh G900 II	ricoh	2024-08-07	compacts		
Ricoh G900SE II	ricoh	2024-08-07	compacts		
Tamron 28-300mm F4-7.1 Di III VC VXD	tamron	2024-07-31	lenses	SonyE|SonyFE	28-300mm
